,Fund,Fund Description,Chart Section Level 1,Chart Section Level 2,Agency,Agency Description,Organization,Organization Description,Activity,Activity Description,Function,Function Description,Account,Account Description,Total Indicator,Balance Forward,YTD Debits,YTD Credits,Ending Balance,Prior Year YTD Balance
116,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,4501,Engineering Maintenance Facility,,,4230,Medical Insurance,N,0,0,0,0,18822
117,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,4501,Engineering Maintenance Facility,,,4234,Disability Insurance,N,0,0,0,0,202
118,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,4501,Engineering Maintenance Facility,,,4250,Social Security-Employer,N,0,0,0,0,8709
119,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,4501,Engineering Maintenance Facility,,,4270,Dental Insurance,N,0,0,0,0,1573
120,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,4501,Engineering Maintenance Facility,,,4280,Optical Insurance,N,0,0,0,0,163
121,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,4501,Engineering Maintenance Facility,,,4440,Unemployment Compensation,N,0,0,0,0,204
122,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,4501,Engineering Maintenance Facility,,,,,Y,0,59619,0,59619,1464680
123,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7016,Design,,,1100,Permanent Time Worked,N,0,2439011,14212,2424799,1385796
124,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7016,Design,,,1200,Temporary Pay,N,0,0,0,0,314821
125,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7016,Design,,,1401,Overtime Paid-Permanent,N,0,22612,0,22612,38529
126,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7016,Design,,,2100,Professional Services,N,0,950700,0,950700,449025
127,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7016,Design,,,2410,Rent City Vehicles,N,0,13940,0,13940,90493
128,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7016,Design,,,3400,Materials & Supplies,N,0,130400,5400,125000,0
129,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7016,Design,,,4220,Life Insurance,N,0,6464,55,6409,4878
130,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7016,Design,,,4230,Medical Insurance,N,0,391482,2603,388879,253535
131,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7016,Design,,,4234,Disability Insurance,N,0,2996,41,2955,1725
132,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7016,Design,,,4250,Social Security-Employer,N,0,185496,1075,184421,131381
133,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7016,Design,,,4270,Dental Insurance,N,0,37252,236,37016,21352
134,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7016,Design,,,4280,Optical Insurance,N,0,3984,25,3959,2213
135,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7016,Design,,,4440,Unemployment Compensation,N,0,11082,0,11082,8720
136,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7016,Design,,,,,Y,0,4195419,23647,4171772,2702468
137,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7017,Construction,,,1100,Permanent Time Worked,N,0,0,0,0,7635
138,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7017,Construction,,,4220,Life Insurance,N,0,0,0,0,33
139,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7017,Construction,,,4234,Disability Insurance,N,0,0,0,0,21
140,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7017,Construction,,,4250,Social Security-Employer,N,0,0,0,0,581
141,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7017,Construction,,,4270,Dental Insurance,N,0,0,0,0,89
142,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7017,Construction,,,4280,Optical Insurance,N,0,0,0,0,9
143,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7017,Construction,,,4440,Unemployment Compensation,N,0,0,0,0,166
144,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7017,Construction,,,,,Y,0,0,0,0,8534
145,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7018,Field Ops Charges,,,1100,Permanent Time Worked,N,0,31947,0,31947,0
146,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7018,Field Ops Charges,,,3400,Materials & Supplies,N,0,5400,0,5400,0
147,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7018,Field Ops Charges,,,4220,Life Insurance,N,0,37,0,37,0
148,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7018,Field Ops Charges,,,4230,Medical Insurance,N,0,1942,0,1942,0
149,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7018,Field Ops Charges,,,4234,Disability Insurance,N,0,22,0,22,0
150,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7018,Field Ops Charges,,,4250,Social Security-Employer,N,0,2442,0,2442,0
151,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7018,Field Ops Charges,,,4270,Dental Insurance,N,0,265,0,265,0
152,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7018,Field Ops Charges,,,4280,Optical Insurance,N,0,28,0,28,0
153,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7018,Field Ops Charges,,,,,Y,0,42083,0,42083,0
154,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7019,Public Engagement,,,1100,Permanent Time Worked,N,0,258800,0,258800,0
155,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7019,Public Engagement,,,4220,Life Insurance,N,0,341,0,341,0
156,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7019,Public Engagement,,,4230,Medical Insurance,N,0,45343,0,45343,0
157,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7019,Public Engagement,,,4234,Disability Insurance,N,0,408,0,408,0
158,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7019,Public Engagement,,,4250,Social Security-Employer,N,0,19769,0,19769,0
159,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7019,Public Engagement,,,4270,Dental Insurance,N,0,4109,0,4109,0
160,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7019,Public Engagement,,,4280,Optical Insurance,N,0,439,0,439,0
161,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7019,Public Engagement,,,4440,Unemployment Compensation,N,0,2074,0,2074,0
162,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,7019,Public Engagement,,,,,Y,0,331283,0,331283,0
163,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,,,,,,,Y,0,4628404,23647,4604757,4175682
164,0004,Maintenance Facility,EXPENSES,,040,Public Services,,,,,,,,,Y,0,4628404,23647,4604757,4175682
165,0004,Maintenance Facility,EXPENSES,,,,,,,,,,,,Y,0,4628404,23647,4604757,4175682
166,0004,Maintenance Facility,,,,,,,,,,,,,Y,0,7087942,7087942,0,0
167,0007,Local Law Enforc Block Grant,ASSETS,,,,,,,,,,2400.0099,Equity In Pooled cash & investments,N,23665,138,28,23775,23599
168,0007,Local Law Enforc Block Grant,ASSETS,,,,,,,,,,,,Y,23665,138,28,23775,23599
169,0007,Local Law Enforc Block Grant,LIABILITIES AND FUND EQUITY,FUND EQUITY,,,,,,,,,6606,Fund Balance,N,-23665,0,0,-23665,-24297
170,0007,Local Law Enforc Block Grant,LIABILITIES AND FUND EQUITY,FUND EQUITY,,,,,,,,,,,Y,-23665,0,0,-23665,-24297
171,0007,Local Law Enforc Block Grant,LIABILITIES AND FUND EQUITY,,,,,,,,,,,,Y,-23665,0,0,-23665,-24297
172,0007,Local Law Enforc Block Grant,REVENUES,,018,Finance,1000,Administration,0000,Revenue,,,6200,Investment Income,N,0,28,138,-110,698
173,0007,Local Law Enforc Block Grant,REVENUES,,018,Finance,1000,Administration,0000,Revenue,,,,,Y,0,28,138,-110,698
174,0007,Local Law Enforc Block Grant,REVENUES,,018,Finance,1000,Administration,,,,,,,Y,0,28,138,-110,698
175,0007,Local Law Enforc Block Grant,REVENUES,,018,Finance,,,,,,,,,Y,0,28,138,-110,698
176,0007,Local Law Enforc Block Grant,REVENUES,,031,Police,0253,2014 JAG Grant,0000,Revenue,,,2140,US Dept Of Justice - Grant,N,0,0,0,0,-2191900
177,0007,Local Law Enforc Block Grant,REVENUES,,031,Police,0253,2014 JAG Grant,0000,Revenue,,,,,Y,0,0,0,0,-2191900
178,0007,Local Law Enforc Block Grant,REVENUES,,031,Police,0253,2014 JAG Grant,,,,,,,Y,0,0,0,0,-2191900
179,0007,Local Law Enforc Block Grant,REVENUES,,031,Police,,,,,,,,,Y,0,0,0,0,-2191900
180,0007,Local Law Enforc Block Grant,REVENUES,,,,,,,,,,,,Y,0,28,138,-110,-2191202
181,0007,Local Law Enforc Block Grant,EXPENSES,,031,Police,0253,2014 JAG Grant,3035,Public Safety Grants,,,3300,Uniforms & Accessories,N,0,0,0,0,2191900
182,0007,Local Law Enforc Block Grant,EXPENSES,,031,Police,0253,2014 JAG Grant,3035,Public Safety Grants,,,,,Y,0,0,0,0,2191900
183,0007,Local Law Enforc Block Grant,EXPENSES,,031,Police,0253,2014 JAG Grant,,,,,,,Y,0,0,0,0,2191900
184,0007,Local Law Enforc Block Grant,EXPENSES,,031,Police,,,,,,,,,Y,0,0,0,0,2191900
185,0007,Local Law Enforc Block Grant,EXPENSES,,,,,,,,,,,,Y,0,0,0,0,2191900
186,0007,Local Law Enforc Block Grant,,,,,,,,,,,,,Y,0,166,166,0,0
187,0008,Ann Arbor Municipal Center,ASSETS,,,,,,,,,,2400.0099,Equity In Pooled cash & investments,N,17712937,16027,17728964,0,17645930
